SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
3,22,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,1517,länglich
3,22,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,366,gleich
3,22,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,992,gleich
3,22,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,2013,gleich
3,22,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,1007,gleich
3,22,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,623,länglich
3,22,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,797,gleich
4,20,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,575,länglich
4,20,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,529,länglich
4,20,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,1973,gleich
4,20,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,507,länglich
4,20,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,9379,gleich
4,20,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,1252,gleich
4,20,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,773,gleich
4,20,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,497,länglich
4,20,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,417,länglich
4,20,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,431,länglich
4,20,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,895,länglich
4,20,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,883,gleich
4,20,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,559,länglich
4,20,Obst,13,0,nat,Banane,3,C13I03_Banane_0,638,länglich
4,20,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,576,gleich
