SubjID,SubjAge,category,category_nr,visSim_1sim_0dis,artificiality,item,item_nr,picture_id,RT,Response
4,23,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,489,gerade
4,23,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,1399,gerade
4,23,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,718,gebogen
4,23,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,460,gebogen
4,23,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,568,gerade
4,23,Obst,13,0,nat,Banane,3,C13I03_Banane_0,810,gebogen
4,23,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,366,gerade
4,23,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,409,gebogen
4,23,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,1038,gebogen
4,23,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,362,gebogen
4,23,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,745,gerade
4,23,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,767,gebogen
4,23,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,241,gebogen
4,23,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,297,gerade
4,23,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,621,gerade
4,23,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,315,gebogen
4,23,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,472,gebogen
4,23,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,264,gebogen
4,23,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,461,gebogen
4,23,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,272,gebogen
4,23,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,155,gebogen
4,23,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,202,gebogen
4,23,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,232,gebogen
4,23,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,186,gerade
4,23,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,142,gebogen
4,23,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,177,gerade
4,23,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,301,gerade
4,23,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,267,gerade
4,23,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,264,gebogen
4,23,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,205,gebogen
4,23,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,125,gerade
4,23,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,285,gebogen
4,23,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,459,gerade
4,23,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,255,gerade
4,23,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,208,gebogen
4,23,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,329,gebogen
4,23,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,218,gerade
4,23,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,383,gebogen
4,23,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,176,gebogen
4,23,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,205,gebogen
4,23,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,702,gebogen
4,23,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,306,gebogen
4,23,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,253,gerade
4,23,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,286,gebogen
4,23,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,177,gerade
4,23,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,217,gebogen
4,23,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,489,gebogen
4,23,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,158,gerade
4,23,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,178,gerade
4,23,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,304,gebogen
4,23,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,306,gerade
4,23,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,187,gerade
5,20,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,969,gebogen
5,20,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,5724,gerade
5,20,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1869,gebogen
5,20,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,1195,gebogen
5,20,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,649,gerade
5,20,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,688,gerade
5,20,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,768,gebogen
5,20,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,2715,gerade
5,20,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,2456,gerade
5,20,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,940,gebogen
5,20,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,1948,gerade
5,20,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,543,gebogen
5,20,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,1988,gerade
5,20,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,432,gebogen
5,20,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,736,gebogen
5,20,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,1528,gebogen
5,20,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,1530,gerade
5,20,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,664,gebogen
5,20,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1131,gebogen
5,20,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,585,gebogen
5,20,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,3348,gerade
5,20,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,589,gerade
5,20,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,908,gebogen
5,20,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,633,gerade
5,20,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,969,gebogen
5,20,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,699,gerade
5,20,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,554,gerade
5,20,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,523,gerade
5,20,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,495,gebogen
5,20,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,816,gebogen
5,20,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,313,gerade
5,20,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,428,gebogen
5,20,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,1162,gebogen
5,20,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,553,gerade
5,20,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,1909,gebogen
5,20,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,1320,gerade
5,20,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,401,gerade
5,20,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,554,gebogen
5,20,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,447,gerade
5,20,Obst,13,0,nat,Banane,3,C13I03_Banane_0,600,gebogen
5,20,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,503,gerade
5,20,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,7512,gebogen
5,20,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,416,gerade
5,20,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,492,gerade
5,20,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,369,gebogen
5,20,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,1053,gerade
5,20,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,446,gebogen
5,20,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,5214,gerade
5,20,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,430,gebogen
5,20,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,761,gebogen
5,20,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,552,gerade
5,20,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,475,gebogen
5,20,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,447,gebogen
5,20,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,5331,gebogen
5,20,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,250,gerade
5,20,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,573,gebogen
5,20,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,457,gebogen
5,20,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,335,gerade
5,20,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,411,gebogen
5,20,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,666,gebogen
6,22,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1176,gebogen
6,22,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,599,gerade
6,22,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,336,gebogen
6,22,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,577,gebogen
6,22,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,844,gebogen
6,22,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,956,gebogen
6,22,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,760,gerade
6,22,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,752,gerade
6,22,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,543,gebogen
6,22,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1127,gebogen
6,22,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,969,gebogen
6,22,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,3252,gebogen
6,22,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,1302,gerade
6,22,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,570,gebogen
6,22,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,749,gebogen
6,22,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,759,gebogen
6,22,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,623,gerade
