aggregator,block_size,image_size,scoring,weights,kendall
mean,18,16,Euclidean,fixed,0.1414939726291213
mean,18,16,Euclidean,optimized,0.25247771081568227
mean,18,16,InnerProduct,fixed,0.07830619305385815
mean,18,16,InnerProduct,optimized,0.15185806459509782
mean,18,16,Manhattan,fixed,0.17031138522041703
mean,18,16,Manhattan,optimized,0.24729468971659382
median,18,16,Euclidean,fixed,0.05333440310504348
median,18,16,Euclidean,optimized,0.07634177536658093
median,18,16,InnerProduct,fixed,0.02931622487491748
median,18,16,InnerProduct,optimized,0.11843672829608207
median,18,16,Manhattan,fixed,0.046278636572178414
median,18,16,Manhattan,optimized,0.07911344686630557
min,18,16,Euclidean,fixed,0.23822137667187887
min,18,16,Euclidean,optimized,0.34671731526298427
min,18,16,InnerProduct,fixed,0.17080469589796943
min,18,16,InnerProduct,optimized,0.2536706269389596
min,18,16,Manhattan,fixed,0.2334386926303343
min,18,16,Manhattan,optimized,0.32305661030693367
max,19,15,Euclidean,fixed,0.05127399726432971
max,19,15,Euclidean,optimized,0.05602475462862212
max,19,15,InnerProduct,fixed,0.049976351381530316
max,19,15,InnerProduct,optimized,0.04674123625064629
max,19,15,Manhattan,fixed,0.04977932661398486
max,19,15,Manhattan,optimized,0.05242700469350305
mean,19,15,Euclidean,fixed,0.1404505013446331
mean,19,15,Euclidean,optimized,0.259019606805121
mean,19,15,InnerProduct,fixed,0.07800727245742305
mean,19,15,InnerProduct,optimized,0.1547558465693336
mean,19,15,Manhattan,fixed,0.16711678596281
mean,19,15,Manhattan,optimized,0.2657421958273987
median,19,15,Euclidean,fixed,0.05061027198433383
median,19,15,Euclidean,optimized,0.09045820336636072
median,19,15,InnerProduct,fixed,0.030315702674922146
median,19,15,InnerProduct,optimized,0.1160218688824167
median,19,15,Manhattan,fixed,0.04438906969874231
median,19,15,Manhattan,optimized,0.09831115023023591
min,19,15,Euclidean,fixed,0.23772806599432647
min,19,15,Euclidean,optimized,0.3323253557743181
min,19,15,InnerProduct,fixed,0.1720297201827464
min,19,15,InnerProduct,optimized,0.23638442051693853
min,19,15,Manhattan,fixed,0.23372996722426317
min,19,15,Manhattan,optimized,0.31069296874383656
max,21,14,Euclidean,fixed,0.04141551661559458
max,21,14,Euclidean,optimized,0.04620659876377651
max,21,14,InnerProduct,fixed,0.041473073913709094
max,21,14,InnerProduct,optimized,0.03887096399575525
max,21,14,Manhattan,fixed,0.04141551661559458
max,21,14,Manhattan,optimized,0.04456836816515695
mean,21,14,Euclidean,fixed,0.14220184594337865
mean,21,14,Euclidean,optimized,0.24701644055590188
mean,21,14,InnerProduct,fixed,0.07809529815453277
mean,21,14,InnerProduct,optimized,0.14372792882826588
mean,21,14,Manhattan,fixed,0.1707533475746554
mean,21,14,Manhattan,optimized,0.24390160667494337
median,21,14,Euclidean,fixed,0.047769681129842416
median,21,14,Euclidean,optimized,0.10550116617371871
median,21,14,InnerProduct,fixed,0.023603731444642315
median,21,14,InnerProduct,optimized,0.12631021842285667
median,21,14,Manhattan,fixed,0.03820914008081485
median,21,14,Manhattan,optimized,0.10535922959921255
min,21,14,Euclidean,fixed,0.23536604312188222
min,21,14,Euclidean,optimized,0.3270857673384059
min,21,14,InnerProduct,fixed,0.17431655443890942
min,21,14,InnerProduct,optimized,0.2210126244129161
min,21,14,Manhattan,fixed,0.23013634381068668
min,21,14,Manhattan,optimized,0.3017179779658753
max,22,13,Euclidean,fixed,0.041233063358462024
max,22,13,Euclidean,optimized,0.04645440329997662
max,22,13,InnerProduct,fixed,0.041473073913709094
max,22,13,InnerProduct,optimized,0.03887096399575525
max,22,13,Manhattan,fixed,0.041233063358462024
max,22,13,Manhattan,optimized,0.04470133615094664
mean,22,13,Euclidean,fixed,0.14323981562179747
mean,22,13,Euclidean,optimized,0.24783374479268788
mean,22,13,InnerProduct,fixed,0.07806228851811663
mean,22,13,InnerProduct,optimized,0.14920033863992851
mean,22,13,Manhattan,fixed,0.1726018872139596
mean,22,13,Manhattan,optimized,0.26098754024705767
median,22,13,Euclidean,fixed,0.03432818800410236
median,22,13,Euclidean,optimized,0.08603734248561075
median,22,13,InnerProduct,fixed,0.022100875573390324
median,22,13,InnerProduct,optimized,0.10130895187365282
median,22,13,Manhattan,fixed,0.035297887369664285
median,22,13,Manhattan,optimized,0.08234679097148687
min,22,13,Euclidean,fixed,0.23832590718719668
min,22,13,Euclidean,optimized,0.3266030214272548
min,22,13,InnerProduct,fixed,0.16980620862799573
min,22,13,InnerProduct,optimized,0.21211308241811508
min,22,13,Manhattan,fixed,0.23563128863835264
min,22,13,Manhattan,optimized,0.3059460788475978
max,24,12,Euclidean,fixed,0.04126990158859808
max,24,12,Euclidean,optimized,0.046025195593958665
max,24,12,InnerProduct,fixed,0.041473073913709094
max,24,12,InnerProduct,optimized,0.03887096399575525
max,24,12,Manhattan,fixed,0.04126990158859808
max,24,12,Manhattan,optimized,0.04507819100920505
mean,24,12,Euclidean,fixed,0.1415324838716068
mean,24,12,Euclidean,optimized,0.22911348281739294
mean,24,12,InnerProduct,fixed,0.07766800674981265
mean,24,12,InnerProduct,optimized,0.15622011760533927
mean,24,12,Manhattan,fixed,0.17664189993755797
mean,24,12,Manhattan,optimized,0.240321378955146
median,24,12,Euclidean,fixed,0.03293262444898506
median,24,12,Euclidean,optimized,0.035575301367658754
median,24,12,InnerProduct,fixed,0.020321098951517617
median,24,12,InnerProduct,optimized,0.09286231605161331
median,24,12,Manhattan,fixed,0.034423810875423115
median,24,12,Manhattan,optimized,0.05830298178220653
min,24,12,Euclidean,fixed,0.24747141034315898
min,24,12,Euclidean,optimized,0.3491138659254181
min,24,12,InnerProduct,fixed,0.17826882613733516
min,24,12,InnerProduct,optimized,0.23540041952200325
min,24,12,Manhattan,fixed,0.24679888546026962
min,24,12,Manhattan,optimized,0.327070172999458
max,26,11,Euclidean,fixed,0.041405626244750554
max,26,11,Euclidean,optimized,0.046051645876286275
max,26,11,InnerProduct,fixed,0.041473073913709094
max,26,11,InnerProduct,optimized,0.03887096399575525
max,26,11,Manhattan,fixed,0.041405626244750554
max,26,11,Manhattan,optimized,0.04441341527766672
mean,26,11,Euclidean,fixed,0.14100799742632802
mean,26,11,Euclidean,optimized,0.2352794917344399
mean,26,11,InnerProduct,fixed,0.07770651799229816
mean,26,11,InnerProduct,optimized,0.1477960193617213
mean,26,11,Manhattan,fixed,0.17494923913688556
mean,26,11,Manhattan,optimized,0.23386315038142674
median,26,11,Euclidean,fixed,0.02220631596461753
median,26,11,Euclidean,optimized,0.05093856017137858
median,26,11,InnerProduct,fixed,0.011526785330999866
median,26,11,InnerProduct,optimized,0.10105570392981825
median,26,11,Manhattan,fixed,0.026134549921460224
median,26,11,Manhattan,optimized,0.04521583261555194
min,26,11,Euclidean,fixed,0.24155351608121986
min,26,11,Euclidean,optimized,0.3392837125744651
min,26,11,InnerProduct,fixed,0.18275006653373813
min,26,11,InnerProduct,optimized,0.24530640075309346
min,26,11,Manhattan,fixed,0.23575510107078565
min,26,11,Manhattan,optimized,0.31584381674066203
max,29,10,Euclidean,fixed,0.04134050209537072
max,29,10,Euclidean,optimized,0.0456998253677958
max,29,10,InnerProduct,fixed,0.041473073913709094
max,29,10,InnerProduct,optimized,0.042006139341683665
max,29,10,Manhattan,fixed,0.04134050209537072
max,29,10,Manhattan,optimized,0.044784978570955404
mean,29,10,Euclidean,fixed,0.14755490864886373
mean,29,10,Euclidean,optimized,0.2158344992564797
mean,29,10,InnerProduct,fixed,0.07727739271888827
