configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,0.21666430679130205,0.26214497044777757,0.26257014530283607,0.22925666744383447,0.21254112167123332,0.251747156951461,3.6872596108840434,2.0282249422345293,1.0652395738472744,1.549359862791032,0.49853117115339457,0.7353844740968578
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,0,0.20652145412651765,0.22260611935653346,0.262362615567448,0.260893013711751,0.20488601539418272,0.22944749141792348,4.150911007156178,3.1351739539527403,1.0723958300741352,2.098207131748905,0.2872839928305879,0.7160124187366087
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,0,0.22026932018213133,0.20856873620916705,0.25611061913657457,0.1621543905631493,0.22407925287142555,0.2042030301689135,3.7831812617413854,2.657866618523046,1.0595768779595287,1.8558921760095626,0.3778440397393947,0.7367276451313982
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,4,0.24177279433633572,0.34142338682266826,0.2588019796043117,0.25890799668526204,0.2364435873577854,0.35119507919449167,3.8274338637201155,2.2520871649688146,0.9871302310654095,1.6195087239930825,0.4490839880948164,0.7426678331603809
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,2,0.23877992840397816,0.276125410134905,0.24862519125952678,0.21452087426279504,0.24039839929631282,0.2726229952944974,3.9705754567263076,2.501389126230176,1.0586440874824719,1.7794280251507857,0.40851014787931833,0.7302461698505344
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,3,0.21517113687127717,0.24106272295682823,0.24444457652714946,0.21905810271330456,0.21424443176356942,0.24120488263962475,3.6236581821368663,2.137793435289537,1.059234974887298,1.5988251187314793,0.4848949855809309,0.7464665770469879
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,0.2420547215240327,0.26138060213624814,0.28635514132784773,0.22376689143984124,0.24225180951172834,0.26570591548042627,3.7071317980435428,1.9188804842909555,1.0755896116592447,1.500163516388864,0.5173799807915882,0.742348209945523
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,1,0.22798185607149057,0.25309622936943676,0.23880733799167095,0.21571855002093873,0.22648738093300413,0.24765931534211677,3.9928892125085906,2.615338049048082,1.064653799158578,1.8369956891567123,0.3773038960683103,0.7238014292613584
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,0.2187604876405677,0.24128270121871953,0.2578935475550658,0.22179480915473251,0.21579111564051826,0.24144997236974977,3.734639943166655,1.9923059823575706,1.0744284165349542,1.535909049956166,0.5125286675685522,0.7439755253901287
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,4,0.2569746737581275,0.2795592992300083,0.28341839978933725,0.23703755226397205,0.25551282908118006,0.2743036373787354,3.9962908160783805,2.6046623824783706,1.0509840494838296,1.82568921593379,0.3815976585015959,0.7265248199938511
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,4,0.20508049294495517,0.2412026013373425,0.2460447743610223,0.22061464092522987,0.20581533093881357,0.23743007237794922,3.661511367476716,2.2174205457654987,1.0842522728704675,1.6512535797205508,0.45866443716871497,0.7386033122095527
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,1,0.21964934141289022,0.324562244411832,0.25837125751199685,0.26466307845798864,0.2134103971666324,0.3208500906405742,3.9374469696040055,2.471190429601474,1.0103887227737174,1.7380793425136682,0.40410940048159383,0.7410034690523634
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,0,0.1904059217816338,0.289693655613596,0.2301354665330649,0.21664488279222344,0.187538356821586,0.304399442642327,3.814779336238394,2.17075116567351,0.9710581161100037,1.5702035220630315,0.4723487361280286,0.748950564340061
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,1,0.22332483660064378,0.24665713944762951,0.24652248431795332,0.2300445803208401,0.22384300832988316,0.24927191171912105,3.8056808424458213,2.6802591637900197,1.085529653715844,1.878657187179035,0.3668386160640084,0.7347263893637122
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,2,0.252975484391907,0.3546863988385173,0.2793630860292697,0.28052900273409553,0.24823362572105875,0.3599441386681476,3.876278839303523,2.24416608101771,1.0043741871276681,1.624353653550148,0.4565890110159407,0.7423871424392778
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,0.2041120208464775,0.2353565811569392,0.25430550200423685,0.21033168773465483,0.2027350153695315,0.23300849676763388,3.7044710848380107,1.9890295145141619,1.0638912597645303,1.5286367579260651,0.5081934406623548,0.7454449130576484
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,3,0.23797721905011865,0.26966385430715967,0.26452275212133014,0.22862219511763318,0.24348393573944116,0.27297993025955825,3.9894131742837478,2.6378059362439132,1.0352184685523413,1.8341044925493852,0.37701697144216423,0.730266891984307
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,0.21962193182519743,0.23785081118699006,0.25917266164739483,0.20294704462515534,0.22078618669290914,0.24605227168693453,3.700953681118634,2.0066626540136063,1.0491904545298645,1.5298515271501882,0.5070609316351462,0.7479312551386502
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,3,0.23896396420705818,0.34425460909705724,0.26179615075513085,0.2898106128344424,0.23520232460084167,0.34902680593406193,3.810729941224565,2.2176348524466905,0.9660981856243951,1.5914336138142615,0.4633980068138667,0.7486227777861819
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,2,0.2184028577821002,0.24021304827550086,0.259077380699701,0.23674630494014187,0.2154948310497441,0.23821022669324027,3.773714491127705,2.680342739166044,1.0632618037580837,1.8684609131001089,0.3739082650420617,0.7333014286951143
