pairID,pairType,visualType,ratingType,aggregator,ratings
horse-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-stag,between,Mix,conceptual,median,1.0
eagle-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-owl,between,Mix,conceptual,median,1.0
lighthouse-parrot,between,Mix,conceptual,median,1.0
lighthouse-pigeon,between,Mix,conceptual,median,1.0
lighthouse-stork,between,Mix,conceptual,median,1.0
axe-lighthouse,between,Mix,conceptual,median,1.0
hammer-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-pliers,between,Mix,conceptual,median,1.0
lighthouse-saw,between,Mix,conceptual,median,1.0
lighthouse-shovel,between,Mix,conceptual,median,1.0
dishwasher-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-microwave,between,Mix,conceptual,median,1.0
lighthouse-television,between,Mix,conceptual,median,1.0
lighthouse-toaster,between,Mix,conceptual,median,1.0
lighthouse-washing machine,between,Mix,conceptual,median,1.0
blouse-lighthouse,between,Mix,conceptual,median,1.0
coat-lighthouse,between,Mix,conceptual,median,1.0
jacket-lighthouse,between,Mix,conceptual,median,1.0
lighthouse-shirt,between,Mix,conceptual,median,1.0
lighthouse-uniform,between,Mix,conceptual,median,1.0
pyramid-windmill,within ,Mix,conceptual,median,4.0
bicycle-pyramid,between,Mix,conceptual,median,1.0
bus-pyramid,between,Mix,conceptual,median,1.0
car-pyramid,between,Mix,conceptual,median,1.5
pyramid-scooter,between,Mix,conceptual,median,1.0
pyramid-tractor,between,Mix,conceptual,median,1.0
ant-pyramid,between,Mix,conceptual,median,1.0
butterfly-pyramid,between,Mix,conceptual,median,1.0
dragonfly-pyramid,between,Mix,conceptual,median,1.0
fly-pyramid,between,Mix,conceptual,median,1.0
ladybug-pyramid,between,Mix,conceptual,median,1.0
apple-pyramid,between,Mix,conceptual,median,1.0
banana-pyramid,between,Mix,conceptual,median,1.0
cherry-pyramid,between,Mix,conceptual,median,1.0
lemon-pyramid,between,Mix,conceptual,median,1.0
pyramid-raspberry,between,Mix,conceptual,median,1.0
asparagus-pyramid,between,Mix,conceptual,median,1.0
bell pepper-pyramid,between,Mix,conceptual,median,1.0
broccoli-pyramid,between,Mix,conceptual,median,1.0
carrot-pyramid,between,Mix,conceptual,median,1.0
onion-pyramid,between,Mix,conceptual,median,1.0
dandelion-pyramid,between,Mix,conceptual,median,1.0
palm tree-pyramid,between,Mix,conceptual,median,1.0
pyramid-rose,between,Mix,conceptual,median,1.0
pyramid-sunflower,between,Mix,conceptual,median,1.0
pyramid-tulip,between,Mix,conceptual,median,1.0
cow-pyramid,between,Mix,conceptual,median,1.0
donkey-pyramid,between,Mix,conceptual,median,1.0
goat-pyramid,between,Mix,conceptual,median,1.0
horse-pyramid,between,Mix,conceptual,median,1.0
pyramid-stag,between,Mix,conceptual,median,1.0
eagle-pyramid,between,Mix,conceptual,median,1.0
owl-pyramid,between,Mix,conceptual,median,1.0
parrot-pyramid,between,Mix,conceptual,median,1.0
pigeon-pyramid,between,Mix,conceptual,median,1.0
pyramid-stork,between,Mix,conceptual,median,1.0
axe-pyramid,between,Mix,conceptual,median,1.0
hammer-pyramid,between,Mix,conceptual,median,1.0
pliers-pyramid,between,Mix,conceptual,median,1.0
pyramid-saw,between,Mix,conceptual,median,1.0
pyramid-shovel,between,Mix,conceptual,median,1.0
dishwasher-pyramid,between,Mix,conceptual,median,1.0
microwave-pyramid,between,Mix,conceptual,median,1.0
pyramid-television,between,Mix,conceptual,median,1.0
pyramid-toaster,between,Mix,conceptual,median,1.0
pyramid-washing machine,between,Mix,conceptual,median,1.0
blouse-pyramid,between,Mix,conceptual,median,1.0
coat-pyramid,between,Mix,conceptual,median,1.0
jacket-pyramid,between,Mix,conceptual,median,1.0
pyramid-shirt,between,Mix,conceptual,median,1.0
pyramid-uniform,between,Mix,conceptual,median,1.0
bicycle-windmill,between,Mix,conceptual,median,2.5
bus-windmill,between,Mix,conceptual,median,1.0
car-windmill,between,Mix,conceptual,median,1.0
scooter-windmill,between,Mix,conceptual,median,1.0
tractor-windmill,between,Mix,conceptual,median,1.0
ant-windmill,between,Mix,conceptual,median,1.0
butterfly-windmill,between,Mix,conceptual,median,1.0
dragonfly-windmill,between,Mix,conceptual,median,1.0
fly-windmill,between,Mix,conceptual,median,1.0
ladybug-windmill,between,Mix,conceptual,median,1.0
apple-windmill,between,Mix,conceptual,median,1.0
banana-windmill,between,Mix,conceptual,median,1.0
cherry-windmill,between,Mix,conceptual,median,1.0
lemon-windmill,between,Mix,conceptual,median,1.0
raspberry-windmill,between,Mix,conceptual,median,1.0
asparagus-windmill,between,Mix,conceptual,median,1.0
bell pepper-windmill,between,Mix,conceptual,median,1.0
broccoli-windmill,between,Mix,conceptual,median,1.0
carrot-windmill,between,Mix,conceptual,median,1.0
onion-windmill,between,Mix,conceptual,median,1.0
dandelion-windmill,between,Mix,conceptual,median,1.0
palm tree-windmill,between,Mix,conceptual,median,1.0
rose-windmill,between,Mix,conceptual,median,1.0
sunflower-windmill,between,Mix,conceptual,median,2.0
tulip-windmill,between,Mix,conceptual,median,1.0
cow-windmill,between,Mix,conceptual,median,2.0
donkey-windmill,between,Mix,conceptual,median,1.0
goat-windmill,between,Mix,conceptual,median,1.0
horse-windmill,between,Mix,conceptual,median,1.0
stag-windmill,between,Mix,conceptual,median,1.0
eagle-windmill,between,Mix,conceptual,median,1.0
owl-windmill,between,Mix,conceptual,median,1.0
parrot-windmill,between,Mix,conceptual,median,1.0
pigeon-windmill,between,Mix,conceptual,median,1.0
stork-windmill,between,Mix,conceptual,median,1.0
axe-windmill,between,Mix,conceptual,median,1.0
hammer-windmill,between,Mix,conceptual,median,1.0
pliers-windmill,between,Mix,conceptual,median,1.5
saw-windmill,between,Mix,conceptual,median,1.5
shovel-windmill,between,Mix,conceptual,median,1.5
dishwasher-windmill,between,Mix,conceptual,median,2.0
